Model,Acc (%),Prec-macro (%),Recall-macro (%),F1-macro (%),Prec-weighted (%),Recall-weighted (%),F1-weighted (%),AUC (%)
DT-GNN,85.69,81.97,83.72,82.43,76.90,85.69,80.48,96.00
w/o DW-Sep,84.43,80.69,82.21,80.94,76.10,84.43,79.38,95.49
w/o Temporal Shift,84.48,82.06,80.10,80.12,75.98,84.48,79.30,96.07
GraphSAGE-AE,84.83,78.31,83.01,79.75,76.44,84.83,79.75,95.53
w/o Dynamic Edge Weighting,85.54,77.26,83.24,77.75,80.55,85.54,82.49,95.76
GCN-AE,84.53,76.90,82.59,77.04,79.87,84.53,81.55,95.20
STCI,85.03,76.77,80.63,76.89,80.00,85.03,82.01,95.52
Ours,84.27,81.67,75.70,75.44,76.17,84.27,78.73,95.61
STGaAN,84.95,75.72,75.48,74.91,79.59,84.95,81.89,92.98
VGAE,83.03,80.04,73.73,73.61,75.37,83.03,77.55,94.85
EE-GCN,82.46,71.07,68.25,67.59,73.29,82.46,76.63,92.46
GAT-AE,80.18,78.24,63.83,61.43,73.22,80.18,74.16,91.54
IIoT-GNN,11.84,3.29,15.46,4.54,2.97,11.84,3.99,64.83
