Model,Acc (%),Prec-macro (%),Recall-macro (%),F1-macro (%),Prec-weighted (%),Recall-weighted (%),F1-weighted (%),AUC (%),RCA (%),MRR (%),NDCG@5 (%),APD,Time (ms),Params (K),Size (MB),CPU (%),FLOPs (MFLOPs)
DT-GNN,85.69,81.97,83.72,82.43,76.90,85.69,80.48,96.00,0.00,2.08,0.00,48.15,4.951,61.3,0.234,9.0,5.338
w/o DW-Sep,84.43,80.69,82.21,80.94,76.10,84.43,79.38,95.49,100.00,100.00,100.00,1.00,7.970,69.1,0.263,11.7,54.737
w/o Temporal Shift,84.48,82.06,80.10,80.12,75.98,84.48,79.30,96.07,100.00,100.00,100.00,1.00,10.996,67.8,0.259,12.1,55.188
GraphSAGE-AE,84.83,78.31,83.01,79.75,76.44,84.83,79.75,95.53,0.00,3.34,0.00,33.66,3.746,27.7,0.106,13.9,2.300
w/o Dynamic Edge Weighting,85.54,77.26,83.24,77.75,80.55,85.54,82.49,95.76,30.65,53.62,59.08,14.56,9.943,67.0,0.255,8.9,17.811
GCN-AE,84.53,76.90,82.59,77.04,79.87,84.53,81.55,95.20,0.00,2.11,0.00,49.06,3.656,22.0,0.084,9.0,1.673
STCI,85.03,76.77,80.63,76.89,80.00,85.03,82.01,95.52,0.74,12.56,11.60,13.36,5.896,61.6,0.235,12.8,55.165
Ours,84.27,81.67,75.70,75.44,76.17,84.27,78.73,95.61,25.79,59.09,69.42,2.00,6.737,73.2,0.279,14.1,55.188
STGaAN,84.95,75.72,75.48,74.91,79.59,84.95,81.89,92.98,16.60,32.07,32.58,8.62,5.892,82.0,0.313,13.6,9.474
VGAE,83.03,80.04,73.73,73.61,75.37,83.03,77.55,94.85,0.00,1.88,0.00,53.22,3.648,24.1,0.092,12.5,1.898
EE-GCN,82.46,71.07,68.25,67.59,73.29,82.46,76.63,92.46,0.00,2.27,0.00,45.36,8.081,82.3,0.314,15.8,253.150
GAT-AE,80.18,78.24,63.83,61.43,73.22,80.18,74.16,91.54,0.00,2.07,0.00,48.86,5.937,22.1,0.084,13.9,2.699
IIoT-GNN,11.84,3.29,15.46,4.54,2.97,11.84,3.99,64.83,0.00,3.23,0.00,31.29,4.875,65.7,0.251,9.1,6.189
