Model,RCA (%),MRR (%),NDCG@5 (%),APD,Time (ms),CPU (%),FLOPs (MFLOPs)
w/o DW-Sep,100.00,100.00,100.00,1.00,7.970,11.7,54.737
w/o Temporal Shift,100.00,100.00,100.00,1.00,10.996,12.1,55.188
w/o Dynamic Edge Weighting,30.65,53.62,59.08,14.56,9.943,8.9,17.811
Ours,25.79,59.09,69.42,2.00,6.737,14.1,55.188
STGaAN,16.60,32.07,32.58,8.62,5.892,13.6,9.474
STCI,0.74,12.56,11.60,13.36,5.896,12.8,55.165
GCN-AE,0.00,2.11,0.00,49.06,3.656,9.0,1.673
GAT-AE,0.00,2.07,0.00,48.86,5.937,13.9,2.699
GraphSAGE-AE,0.00,3.34,0.00,33.66,3.746,13.9,2.300
VGAE,0.00,1.88,0.00,53.22,3.648,12.5,1.898
IIoT-GNN,0.00,3.23,0.00,31.29,4.875,9.1,6.189
EE-GCN,0.00,2.27,0.00,45.36,8.081,15.8,253.150
DT-GNN,0.00,2.08,0.00,48.15,4.951,9.0,5.338
