Model,Params (K),Trainable (K),Size (KB),Size (MB),Time (ms),CPU (%),FLOPs (MFLOPs)
GCN-AE,22.00,22.00,85.92,0.0839,3.656,9.0,1.673
GAT-AE,22.09,22.09,86.29,0.0843,5.937,13.9,2.699
VGAE,24.07,24.07,94.04,0.0918,3.648,12.5,1.898
GraphSAGE-AE,27.69,27.69,108.17,0.1056,3.746,13.9,2.300
DT-GNN,61.28,61.28,239.39,0.2338,4.951,9.0,5.338
STCI,61.60,61.60,240.64,0.2350,5.896,12.8,55.165
IIoT-GNN,65.74,65.74,256.78,0.2508,4.875,9.1,6.189
w/o Dynamic Edge Weighting,66.95,66.95,261.53,0.2554,9.943,8.9,17.811
w/o Temporal Shift,67.82,67.82,264.94,0.2587,10.996,12.1,55.188
w/o DW-Sep,69.07,69.07,269.79,0.2635,7.970,11.7,54.737
Ours,73.16,73.16,285.79,0.2791,6.737,14.1,55.188
STGaAN,82.02,82.02,320.39,0.3129,5.892,13.6,9.474
EE-GCN,82.28,82.28,321.42,0.3139,8.081,15.8,253.150
